"country","ngo_id","date_added","latin_name","arabic_name","address","governorate","phone","email","date_of_creation","type_of_organization","target_group","president","director","secretary_general","treasurer","missions_and_goals","impact_of_ong","activities","building_networks_and_alliances","other","publications","training_and_capacity_building","research_resources_and_production","exchange_of_information_know.how_and_experience","website","ISO3","ISO2","FIPS","country.rev"
"Tunisia","15",2014-11-06 21:51:24,"Association Insaf Femmes","خلية انصاف المرأة","رمادة الغربية 3240 تونس","تطاوين","+ 216 95058106","najet.abhotmail.fr",2011-10-31,"نسوية","النساء","نجاة العبعاب",NA,"أمينة ضيف الله","سمية دباكي","الحد من ظاهر ةالعنف ضد المرأة وإدماجها في جميع المجالات, جمعية انصاف المراة جمعية خيرية تسعى لتحقيق اهدافها المتمثلة في الإصغاء والانصات غلى مشاكل ومشاغل المراة وخاصة منها الريفية, مناهضة العنف ضد المراة والدفاع عن بعض حقوقها المهضومة, التوعية الصحية وتشجيع المرأة على مواصلة تعليمها, انخراط المرأة الريفية في المجتمع المدني وتمكينها من خلق برمجيات وىليات الإعلامية, ادماج المرأة  في الحياة السياسية وتأطيرها","جهوي",NA,NA,NA,NA,NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","16",2014-11-06 21:51:33,"Tunisian Forum for Youth Empowerment","منتدى تونس للتمكين الشبابي","01 نهج الدوحة منوبة الوسطى  2010","منّوبة",NA,"forumtunisie@yahoo.com",2012-04-12,"حقوقية","الشباب","ختام برقاوي","العيد غزالة","عماد زواوي","خالد برقاوي","تمكين و تنمية قدرات الشباب في كل المجالات و في كل الجهات",NA,"الحملات التحسيسية خلال الإنتخابات, ندوةبالقيروان ( بوحجلة) حول الإنتخابات, أمسية نسائية ( سينما الثورة خلال الإحتفال بالثورة), الإستحقاقات الشبابية ( خلال الإحتفال بالثورة)",NA,NA,NA,NA,NA,NA,"www.facebook.forum TFYE","TUN","TN","TS","Tunisia"
"Tunisia","17",2014-11-06 21:51:42,"Association des droits fondamentaux et libertés publiques","جمعية الحقوق الأساسية والحريات العامة","دار الشعب بتطاوين","تطاوين",NA,"DGLF.tatawine@hotmail.fr",2011-09-01,"حقوقية","موجهة إلى فئة الشباب","اشرف الغريان",NA,"محمد الحمروني","صادق الكبير",NA,"جهوي","المشاركة في الحملات حول ايواء الاجئين, حملة للوقاية من الألغام, حملة للتوعية بالحق الانتخابي, حملة حول حق الطلبة والتلاميذ في الدراسة وضمان الصحة",NA,NA,NA,NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","18",2014-11-06 21:51:49,"Association Développement","جمعية التنمية ببئر ثلاثين","بير ثلاثين بتطاوين الجنوبية 3284","تطاوين الجنوبية","+ 216 20 261141","fafiallah@live.fr, association.derp@hotmail.com",2011-05-05,"تنموية","كل مواطني المنطقة بما في ذلك المعوقين والمكفوفين والطفال والمراة والمسنين",NA,NA,"حبيبة بركة","حبيب الجمل","نشر ثقافة حقوق الإنسان وتكريس التنمية, تحسين الوضع الاجتماعي والاقتصاي لمنطقة بئر الثلاثين بولاة جندوبة","جهوي","إعداد مخطط للأراضي الفلاحية القابلة للزراعة, تشجير بعض الأنهج حافة الطريق",NA,NA,NA,"تنظيم دورارت تكوينية حول المنظومة الدولية لحقوق الإنسان وحقوق الطفل التخطيط الاستراتيجي وكتابة المشاريع",NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","19",2014-11-06 21:51:54,"AJDE","جمعية يوغرطة للتنمية والدراسات","ساحة الجمهورية، تاجروين","الكاف","+216 23 331 531","bilelsouihi@hotmail.com",2011-08-01,"تنموية","الشباب","عماد مقدم","ناجي السعيدي","شفيق حمايدي","بلال  سويفي","النهوض بالتنمية في جنوب ولاية الكاف",NA,"توزيع 200 محفظة مكتبية  على التلاميذ المعوزين من أرياف ولاية الكاف مشروع ممول من طرف الاتحاد الاوروبي, المشاركة في جملة من التظاهرات والندوات في مجال حقوق الانسان","نقص أو انعدام التشبيك وبناء التحالفات مع الجمعيات في نفس الجهة",NA,"دراسة حول آفاق التنمية والتشغيل في جنوب ولاية الكاف","تكثيف الدورات التدريبية في مجال دعم القدرات","دعم قدرات أعضاء الجمعية في مجال انتاج الموارد","بحاجة الى تبادل التجارب مع الجمعيات الأخرى",NA,"TUN","TN","TS","Tunisia"
"Tunisia","20",2014-11-06 21:52:02,"Association de Development Local","الجمعية التنموية المحلية","برج النور- برج العامري-منوبة","منّوبة","+ 216 24845486, + 216 98588957","Association.dev.local@gmail.com",2011-08-08,"تنموية","الشباب, النساء, الأطفال","منجي الجسي","آيمن الجلاصي","لطفي القاسمي","خميس العوني","تحقيق تنمية وطنية ، عادلة و شاملة, تحقيق تطور ثقافي واجتماعي",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","22",2014-11-06 21:52:23,"Association Amal Tounes / Hope Tunisia","جمعية أمل تونس","دار الثقافة -حي الخضراء-تونس","تونس","+216 70860467","contact@emeltounes.com",2011-05-28,"بيئية","المواطن التونسي بجميع فئاته العمرية ( أطفال،شباب، كهول )","لمياء مراد","آمال سعيد","آمنة الحبيب","هندة غطاس","الإرتقاء بالأخلاق العامة, تكريس حس المواطنة من خلال العمل البيئي, العمل من أجل حماية الثروات الوطنية, توفير مساعدة الى المشاريع التى تعمل في إطار حماية البيئة",NA,"حملة جمع الأغشية للتغلب على الإعاقة","الجمعية بحاجة الى التشبيك لإنجاح حملة جمع الأغشية",NA,NA,NA,"بحاجة  الى تمويل في إطار حملة جمع الأغشية",NA,"www.emeltounes.com","TUN","TN","TS","Tunisia"
"Tunisia","23",2014-11-06 21:52:35,"Association Femmes","جمعية نساء","دار الشعب بتطاوين","تطاوين","+ 216 23432450, + 216 23626009","association.femmes@yahoo.fr",2011-12-17,"نسوية","النساء","مريم الشبلي",NA,"خديجة المهدي","لطيفة مي","دعم التشريعات المتعلقة بحماية حقوق المراة والمحافظة عليها, الاعتناء بالمرأة الريفية وتفعيل دورها داخل المجتمع, تتنمية روح المواطنة والوعي المسؤول والقدرات والملكات الابداعية للمراة, النهوض بواقع المرأة ثقافيا واجتماعيا واقتصاديا وتمكينها من المساهمة الكاملة والفعالة في عملية التنمية, مواصلة دعم تعليم المراة بالقضاء على الأمية والانقطاع المبكر عن الدراسة","جهوي","مساعدة اللاجئين الليبيين خاصة الأرامل والحوامل, تشجيع المرأة الريفية على المشاركة في الانتخابات وتوفير وسائل النقل",NA,NA,NA,"تكثيف الدورات التكوينة العامة والمتخصصة",NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","24",2014-11-06 21:52:47,"Association KARAMA","جمعية كرامة للأعمال الخيرية","6 نهج الحبيب الغندور بتطاوين 3200","تطاوين",NA,NA,2011-04-09,"خيرية","فاقدي السند والمحتاجين وأصحاب الدخل المحدود","محمد بن رمضان",NA,"محمد رضا الخريجي","سالم","نشر ثقافة التكافل الاجتماعي والعمل على تحسيس المواطنين بقيمة التضامن","جهوي","المساهمة في أعمال الإغاثة بولاية تطاوين الموجهة للآجئين الليبيين",NA,NA,"نفس الأعمال",NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","25",2014-11-06 21:52:52,"CRT","الهيئة الوطنية للهلال الأحمر بغمراسن","المستشفى المحلي بغمراسن","تطاوين",NA,NA,NA,"منظمة انسانية","جمعية خيرية","محمد قمبرة",NA,"أحمد سانيطة","مختار سعيدان",NA,"جهوي","المشاركة في حملات الكوارث, المشاركة في عمليات الاغاثة",NA,NA,NA,NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","26",2014-11-06 21:53:02,"Association de Développement et des Droits de l\\\'Homme","جمعية التنمية وحقوق الإنسان ببن قردان","ط.رقم1 كوليزي البلدية. الطابق 3 بن قردان 4160","مدنين","+ 216 98543395","abidmtimet@yahoo.fr",2011-03-01,"تنموية","المجتمع المدني","عدنان ماقوري",NA,"الجيلاني الكافي",NA,"نشر ثقافة حقوق الإنسان","جهوي","تنظيم دورة تكوينية في مجال حقوق الإنسان, التكوين والإشراف على الانتخابات, الإحاطة باللآجئين",NA,NA,NA,NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","27",2014-11-06 21:53:11,"Association Animateurs sans Frontières / Gabès","جمعية منشطين بلا حدود","مركز الرياضيين - قابس 6020","قابس","+ 216 21752968",NA,2011-11-01,"ثقافية","الأطفال والشباب","محمد حضر","رضا مخليي","رقيقة لطيفي","هيثم شتاوي","الترفية والتنشيط الثقافي والإجتماعي والتربوي, التربية السليمة للشباب",NA,"أنشطة ثقافية موجهة للأطفال والشباب وتوعوية وزرع روح المواطنة في بعض المدارس بولاية قابس, رحلة ترفهية للشباب الى جزيرة جربة, حملات تحسيسية بالحقوق البيئية",NA,NA,"مشاريع ثقافية وبيئية",NA,NA,NA,"جمعية منشطين بلا حدود  page facebook) ASF)","TUN","TN","TS","Tunisia"
"Tunisia","30",2014-11-06 21:53:46,"Association Insaf / Kef","إنصاف الكاف","المندوبية الجهوية للفلاحة بالكاف","الكاف","+216 98977832","nasriabdelwaheb@yahoo.com",2011-06-11,"تنموية","الفئات المهمشة","عبد الوهاب نصرى",NA,"عمار يونس","أكرم تبسي","المساهمة في تحقيق تنمية شالملة بالجهة, المساهمة في الحد من البطالة من خلال","جهوي","تنظيم ندوة حول لمّ الشمل للجمعيات ، 11 جوان 2011, المشاركة في أشغال ندوة حول الصعوبات والعراقيل للمشاريع بالجهة, المشاركة في مجموعة من التظاهرات حول التنمية وحقوق الانسان",NA,NA,NA,NA,NA,NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","31",2014-11-06 21:53:58,"Association al-KARAMA pour la culture de la paix et l\\\'esprit civique","جمعية الكرامة لثقافة السلم والحس المدني","شارع علي الزليطلي حومة السوق","مدنين","+ 216 24521330, + 216 22934559",NA,2011-04-15,"حقوقية","جميع الشرائح","يوسف الصديق",NA,"صالحة الفطوني","بيل بن عمارة","إعلاء ثقافة العمل والمبادرة الذاتية في خدمة الصالح العام, دعم قيم المواطنة والديمقراطية, التأسيس لمنظومة علاقات مجتمعية وسياسية جديدة قوامها التعايش","جهوي","يوم تحسيسي  حول الاستحقاق الانتخابي, تظاهرة الوفاء للزعيم الشهيد صالح بن يوسف",NA,NA,NA,NA,NA,NA,"www.alkarama.tn","TUN","TN","TS","Tunisia"
"Tunisia","32",2014-11-06 21:54:08,"Association SANAD","جمعية سند لحماية وتأطير الشباب","شارع الكرنيش مسرح الهواء الطلق جرجيس 4170","مدنين","+216 680700, +216 22033515, +216 97860049",NA,NA,"خيرية","الشباب والطفال",NA,NA,"حنان بن عويدة","سفيان الهمامي","تعمل الجمعية على ايجاد حماية كاملة للشباب وكذلك تأطيره من  اجل أن يقوم بدوره المعهود على أحسن وجه","جهوي","لقاء بالشباب لإبراز مخاطر المخدرات والهجرة غير الشرعية, القيام برحلة ترفيهية للأطفال بجربة وجرجيس","استعمال الوسائل التكنولوجية الحديثة","كيفية البحث عن مصادر التمويل",NA,"المنظومة الدولية لحقوق الإنسان، حقوق المرأة، حقوق الطفل","إعداد التقارير بكل أصنافها",NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","33",2014-11-06 21:54:20,"UDC Mednine","جمعية أصحاب الشهائد العليا المعطلين عن العمل بمدنين","دار المنظمات طريق بن قردان قبالة المندوبية الجهوية للصحة، الطابق الثالث","مدنين","+ 216 75 630561","adcm.mednine@yahoo.fr",2011-03-08,"حقوقية","المعطلين عن العمل من أصحاب الشهائد العليا","عبد الله فضلي",NA,"طارق القلويتي","عز الدين مطاوع","البحث عن مواطن شغل داخل المؤسسات العمومية والخاصة، دور نقابي وإدخال تكوين في اللغات الفرنسية والألمانية","جهوي","المراقبة الدائمة للمؤسسات قصد ارساء الشفافية التامة, التدخل في النيابات",NA,"البحث عن مصادر التمويل",NA,"المنظومة الدولية لحقوق الإنسان،حقوق المرأة، التقارير الدورية للدول وتقارير الظل","توثيق الانتهاكات",NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","34",2014-11-06 21:54:25,"Association Soutien des Diplômés Chomeurs","جمعية السند لأصحاب الشهادات المعطلين عن العمل","المركب الثقافي ببن قردان","مدنين","+ 216 20169541","noureddine.club@yahoo.com",2011-02-02,"حقوقية","أصحاب الشهائد المهنية أو العلمية","الفتحي بالمسعود",NA,"نور الدين بن حسين","عبد الكريم المحضي","الدفاع عن حق أصحاب الشهادات المعطالين عن العمل, توعية المعطل ر إدماجه في الحياة الجمعياتية",NA,"أنشطة متنوعة لحملات تحسيسية بدور المجتمع المدني: الجمعيات كعنصر من عناصر المجتمع المدني, بعث أول نسخة لمهرجان المدينة ببنقردان, المساهمة في مهرجان الفروسية, تنظيم حملة نظافة بشاطى المرسى ببنقردان, المشاركة في اللجنة الجهوية للتنمية في دراسة ملفات القروض الصغرى","الربط أكثر مع المنظمات الدولية و بناء شراكة معها",NA,NA,"إخراج التجارب الجمعياتية و تجسيد الخطى العلمية الناجحة: ورشة عمل",NA,NA,"صفحة الفايسبوك جمعية السند لأصحاب الشهادات المعطالين ببنقردان","TUN","TN","TS","Tunisia"
"Tunisia","35",2014-11-06 21:54:32,"C R E","نادي البحوث والدراسات بالحامة","دار محمد عي فوق دار الاتحاد المحلي للشغل بالحامة 6020","قابس","+ 216 75 331981",NA,1985-09-28,"تنموية","الإطارات وأصحاب الكفاءات","نور الدين محجوبي",NA,"محمد جابر","عمار العربي","استقطاب اطارات الجهة وتوظيف كفاءاتها في النهوض بها في إطار تنمية مستديمة مع الانفتاح على كل القوى والأطر التي تساعد على تحقيق هذا المسعى","جهوي","بناء مستشفى محلي بالحامة والتعريف بالفلاحة الجيوحرارية كاحد محاور التنمية, القيام بندوة سنوية",NA,"طرق التمويل",NA,NA,"اعداد التقارير وكتابة المشاريع",NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","36",2014-11-06 21:54:46,"Association des Jeunes Pour la Promotion de Hamma","الجمعية الشبابية للنهوض بالحامة","دار الجمعيات بالحامة","قابس",NA,"ajpeg.org@live.fr",2011-10-29,"تنموية","الباعثون الشبان","حسن الحريزي",NA,"حلمي رتيمي","سهام ودرني","جمعية تنموية بكفاءات وطاقات شابة تسعى إلى تفعيل دور الشباب ومساندتهم فيعدة مجالات اعهمها الاقتصادية والبشرية عبر التكوين والإرشاد","جهوي","انشاء بنك معلومات في مختلف المجالات يوفر المعلومة للباحث ويسهل التواصل بين مختلف الهياكل",NA,"المساعدة في البحث عن التمويل",NA,NA,"اعداد التقارير وكتابة المشاريع",NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","37",2014-11-06 21:54:54,"Invest el Hamma","جمعية أنفاست الحامة","3 م نهج البشير صفر الحامة 6020","قابس","+ 216 75335253","investelhamma@hotmail.fr",2011-08-14,"تنموية","باعثو المشاريع والمستثمرون",NA,NA,"وجدي خضر","عبد الله خضري","الحد من ظاهرة البطالة وتثمين الموارد الطبيعية والبشرية عبر تشجيع البعثين الشبان والجدد والمستثمرين  على خلق مشارييع ذات جدوى ومردودية ااقتصادية وتنموية عادلة كبقية الجهات","جهوي","منذ شهر أوت 2011 إلى حد الآن تكفلت الجمعية بالإحاطة والإرشاد والمتابعة  لأكثر من 40 مشروع",NA,"طرق التمويل وتحديد احتياجات الفئة المستهدفة من قبل الجمعية",NA,NA,"اعداد التقارير",NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","39",2014-11-06 21:55:16,"C N R E D","مركز نفطة للبحوث حول الدراسات والتنمية","الحي الحرفي بنفطة 2240","توزر",NA,NA,2011-02-17,"تنموية","الباعثون الجدد",NA,NA,NA,NA,"البحث عن المشاريع الممكنة في نفطة, اعداد الدراسات وتشجيع الباعثين","جهوي","جلب مستثمرين اجانب واقناعهم بنجاز مشاريع في مدينة نفطة",NA,NA,NA,"المنظومة الدولية لحقوق الإنسان،حقوق المرأة، حقوق الطفل","اعداد التقارير وتوثيق الانتهاكات","استعمال الوسائل التكنولوجية الحديثة",NA,"TUN","TN","TS","Tunisia"
"Tunisia","40",2014-11-06 21:55:30,"Association Amel de Développement","جمعية أمل للتنمية","67 شارع الحبيب بورقبة، برج العامري، منوبة","منوبة","+ 216 27165330, + 216 95349050, + 216 22916142","yamenbennouri@yahoo.com",2007-03-01,"تنموية","الفئات المحدودة الدخل","طارق بن الحاج صالح","سهام الحمدي","مصطفى الحبيبي","الطيب الصالحي","دفع التنمية محليا, تأطير و تكوين و تمويل أصحاب الشهائد العليا, التحسين من المستوى الإجتماعي للفئات المحدودة الدخل, خلق مواطن الشغل","جهوي","المشاركة في اللقاءات والمنتديات والجلسات","إحداث إتحادات جمعياتية لتحقيق النجاعة في التدخل و توسيع نطاق العمل",NA,NA,"تنظيم دورات تكونية مستمرة لتطوير مهارات المنتفعين حتى تكون منح القروض بصفة مدروسة","بعث مشاريع خاصة بالجمعية  لتدعيم مواردها ليتسنى لها الإشعاع و التعريف بنفسها أكتر","التواصل و التنسيق مع بقية اللجمعيات ذات البعد التنموي",NA,"TUN","TN","TS","Tunisia"
"Tunisia","42",2014-11-06 21:55:49,"J C I B","الغرفة الفنية الاقتصادية ببن قر دان","بلدية بن قردان","مدنين","+ 216 75713930","K.SAYARI@JCI.TUNISIA",NA,"تنموية","كل فئات المجتمع",NA,NA,NA,NA,"منظمة تعمل بالأساس على تكوين الفرد حتى يساهم في بناء المجتمع والتشغيل في مجال التنمية لكن تنقصها الموارد المالية","جهوي","المساهمة في احداث بعض المشاريع, تشجيع بعض الشبان على تطوير مشاريعهم, المساهمة في تطوير الحديقة الوطنية",NA,"التخطيط الاستراتيجي وتدبير التمويل",NA,"المنظومة الدولية لحقوق الإنسان","استعمال الوسائل التكنولوجية الحديثة للإبلاغ عن التجاوزات وانتهاكات",NA,NA,"TUN","TN","TS","Tunisia"
"Tunisia","43",2014-11-06 21:55:56,"A C I R G","جمعية ابن رشد الثقافية بغمراسن","دار الثقافة بغمراسن 3220","تطاوين",NA,NA,2011-05-01,"ثقافية","مختلف الشرائح وخاصة التلاميذ والطلبة","حسين العياري",NA,"جازية الناجح","محسن الخرشاني","نشر ثقافة تنويرية تقدمية","جهوي",NA,NA,"تدبير التمويل",NA,"المنظومة الدولية لحقوق الإنسان وحقوق المراة وحقوق الطفل واجهزة الأمم المتحدة","اعداد التقارير",NA,NA,"TUN","TN","TS","Tunisia"
